timestamp,attitude_roll,attitude_pitch,attitude_yaw,rotation_rate_x,rotation_rate_y,rotation_rate_z,gravity_x,gravity_y,gravity_z,user_acc_x,user_acc_y,user_acc_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
2381.77,-2.683864,1.497316,-0.452995,0.006134,-0.207702,0.049652,-0.032443,-0.997302,0.065857,0.003390,0.009295,-0.002472,17.851469,-46.766953,3.335348
2381.78,-2.681011,1.496943,-0.457411,0.019728,-0.123223,0.041192,-0.032796,-0.997274,0.066097,0.005238,0.014379,0.012104,17.817204,-46.788391,3.215789
2381.79,-2.678278,1.496558,-0.460929,0.022192,-0.060426,0.038779,-0.033148,-0.997246,0.066351,0.008154,0.011375,0.007609,17.817204,-46.788391,3.215789
2381.80,-2.675719,1.496072,-0.463760,0.035763,-0.012234,0.038935,-0.033535,-0.997209,0.066699,0.012676,-0.001066,0.001615,17.784363,-46.802376,3.193963
2381.81,-2.674683,1.495808,-0.464733,0.023389,0.008366,0.044985,-0.033723,-0.997190,0.066899,0.014832,-0.003283,-0.005086,17.784363,-46.802376,3.193963
2381.82,-2.670678,1.495553,-0.468941,0.003675,-0.032473,0.036139,-0.034106,-0.997171,0.066990,0.010806,0.006265,-0.015248,17.784363,-46.802376,3.193963
2381.83,-2.665646,1.495405,-0.474712,-0.006224,-0.074713,0.044654,-0.034510,-0.997159,0.066949,0.018382,0.007444,-0.021615,17.757389,-46.811123,3.215865
2381.85,-2.661718,1.495014,-0.479621,0.027102,-0.096763,0.048675,-0.034953,-0.997130,0.067159,0.014857,-0.001100,-0.033925,17.757389,-46.811123,3.215865
2381.86,-2.659587,1.494898,-0.483116,0.069049,-0.140666,0.058935,-0.035149,-0.997121,0.067187,0.015099,-0.001734,-0.032442,17.720474,-46.826153,3.200550
2381.87,-2.658744,1.493853,-0.485788,0.080143,-0.180664,0.066426,-0.035690,-0.997041,0.068079,0.006469,0.005129,0.001379,17.720474,-46.826153,3.200550
