timestamp,attitude_roll,attitude_pitch,attitude_yaw,rotation_rate_x,rotation_rate_y,rotation_rate_z,gravity_x,gravity_y,gravity_z,user_acc_x,user_acc_y,user_acc_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
1968.30,0.084515,0.613789,-0.135862,-0.047537,0.140379,0.089725,0.069007,-0.575969,-0.814553,0.025094,-0.000111,0.067590,0.849242,-31.214233,-24.697168
1968.31,0.085834,0.613560,-0.134700,-0.093287,0.163607,0.107776,0.070092,-0.575782,-0.814593,0.012229,0.005912,0.056689,0.870784,-31.241726,-24.661634
1968.32,0.086713,0.612358,-0.133206,-0.136485,0.160379,0.103647,0.070868,-0.574798,-0.815221,0.015878,0.014343,0.052129,0.870784,-31.241726,-24.661634
1968.33,0.087296,0.610407,-0.131794,-0.212969,0.118861,0.088072,0.071440,-0.573201,-0.816294,0.021623,0.027532,0.060404,0.896959,-31.227312,-24.678944
1968.34,0.087506,0.607423,-0.130526,-0.315363,0.080014,0.067309,0.071761,-0.570753,-0.817980,0.024262,0.028227,0.069094,0.896959,-31.227312,-24.678944
1968.35,0.088341,0.603906,-0.129676,-0.425236,0.080973,0.064984,0.072621,-0.567862,-0.819914,0.021282,0.014685,0.082137,0.908979,-31.146435,-24.780499
1968.36,0.088654,0.598829,-0.128171,-0.504298,0.122657,0.074082,0.073132,-0.563676,-0.822752,0.018619,-0.011413,0.075819,0.908979,-31.146435,-24.780499
1968.37,0.089510,0.593266,-0.126677,-0.537622,0.172500,0.067609,0.074115,-0.559072,-0.825800,0.023068,-0.019846,0.024805,0.928949,-30.982552,-24.984362
1968.38,0.090976,0.587937,-0.125316,-0.514224,0.181862,0.083874,0.075596,-0.554646,-0.828645,0.026837,-0.025112,-0.012221,0.928949,-30.982552,-24.984362
1968.39,0.091357,0.583103,-0.123337,-0.448915,0.120670,0.122721,0.076155,-0.550617,-0.831277,0.024675,-0.014111,-0.035193,0.953867,-30.711931,-25.315357
1968.40,0.090928,0.579214,-0.121112,-0.356385,0.061761,0.145809,0.075992,-0.547366,-0.833436,0.012173,0.001818,-0.050048,0.953867,-30.711931,-25.315357
1968.41,0.090014,0.576238,-0.118779,-0.282469,0.025913,0.166330,0.075377,-0.544874,-0.835123,0.010637,-0.000567,-0.059988,0.991581,-30.449501,-25.628977
